V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
11,0.81256038647343,0.815767973856209,0.628623188405797,0.768939393939394,0.510351966873706,0.702716049382716,0.789351851851852,0.721230158730159,0.632804232804233,0.553125,0.67512077294686,0.779831257533146,0.746383799421408,0.722858701582106,0.839937434827946,0.522137404580153,0.536930455635492,0.826173826173826,0.680597771023303,0.785583941605839,0.518418201516793,0.603174603174603,0.701703163017032,0.711111111111111,0.622751322751323,0.642769607843137,0.635593220338983,0.692993366500829,0.8,0.668613138686131,0.830797101449275,0.864233576642336,0.754812563323202,0.777068661971831,0.685314685314685,0.735211267605634,0.635864135864136,0.691123188405797,0.652728873239437,0.714962121212121,0.831818181818182,0.620777690494894,0.485374149659864,0.667865707434053,0.832557056357708,0.666666666666667,0.672375070185289,0.754770992366412,0.690960207612457,0.680451127819549
12,0.821969696969697,0.810049019607843,0.634191176470588,0.75078125,0.56951871657754,0.695432692307692,0.829166666666667,0.795548654244306,0.689393939393939,0.601777777777778,0.672343876723439,0.827302631578947,0.713450292397661,0.745273109243698,0.849660729431722,0.59005376344086,0.572761194029851,0.825892857142857,0.720496894409938,0.860246623605402,0.579584775086505,0.682188295165395,0.700250626566416,0.691127098321343,0.66198752228164,0.674519230769231,0.732714138286894,0.676744186046512,0.811577311577312,0.690764925373134,0.864963503649635,0.820772058823529,0.815714285714286,0.756920415224914,0.689300411522634,0.747002398081535,0.647794117647059,0.720149253731343,0.697080291970803,0.707764705882353,0.83082497212932,0.71681068342498,0.515151515151515,0.666203703703704,0.822272727272727,0.661152882205514,0.836363636363636,0.750961538461539,0.747895622895623,0.706571428571429
13,0.80381633870006,0.825814536340852,0.617910447761194,0.648360655737705,0.596109309865679,0.705962059620596,0.796861747243427,0.791823308270677,0.67312661498708,0.588613406795225,0.681299385425812,0.813510153336096,0.724789915966387,0.735978835978836,0.847426470588235,0.599292348518355,0.622137404580153,0.812865497076023,0.717156862745098,0.812365591397849,0.592760180995475,0.6921875,0.761538461538462,0.72512077294686,0.678350970017637,0.687058823529412,0.735353535353535,0.674015748031496,0.799270072992701,0.689010487916097,0.846374045801527,0.798717948717949,0.825137867647059,0.752581948810058,0.707336523125997,0.704044117647059,0.662849872773537,0.738721804511278,0.718905472636816,0.712816834050693,0.849019607843137,0.712316968130922,0.532210401891253,0.704457364341085,0.811320754716981,0.67626953125,0.828365384615385,0.672444444444444,0.741268382352941,0.765969802555168
14,0.820557491289199,0.830078125,0.616414141414141,0.678260869565218,0.589656729900632,0.695592286501377,0.805894736842105,0.784883720930233,0.641553480475382,0.557203389830509,0.665805340223945,0.766367137355584,0.722459893048128,0.69010989010989,0.841411764705882,0.612068965517241,0.655667144906743,0.829527559055118,0.741826923076923,0.84,0.599206349206349,0.677222222222222,0.749414519906323,0.715656565656566,0.673324150596878,0.72575329566855,0.758909853249476,0.635975609756098,0.818066157760814,0.746544715447155,0.824380952380952,0.709317585301837,0.821153846153846,0.748540637629097,0.723475355054302,0.690384615384615,0.6515625,0.747596153846154,0.727954144620811,0.703639082751745,0.826065162907268,0.700564971751413,0.485930735930736,0.714,0.81175836030205,0.694052419354839,0.815944881889764,0.69067405355494,0.74093137254902,0.776937046004843
15,0.822916666666667,0.838254172015404,0.681663837011885,0.719298245614035,0.62787610619469,0.696922390722569,0.784166666666667,0.723611111111111,0.618478260869565,0.540777619724988,0.663578947368421,0.77787610619469,0.729100529100529,0.73792443806791,0.852542372881356,0.622072072072072,0.706832871652816,0.821739130434783,0.738407258064516,0.857599606492868,0.599342105263158,0.633642930856553,0.778171091445428,0.718555714968914,0.712712712712713,0.72673314339981,0.764423076923077,0.65046018407363,0.770564516129032,0.763913043478261,0.82520325203252,0.731786731786732,0.825684210526316,0.73509485094851,0.733811475409836,0.68130081300813,0.662640207075065,0.747390891840607,0.763888888888889,0.700676730869339,0.787698412698413,0.724891774891775,0.487804878048781,0.714632960622265,0.807107976125882,0.711111111111111,0.817073170731707,0.71991341991342,0.733249051833123,0.797867063492063
16,0.825575447570332,0.838983050847458,0.659255898366606,0.766666666666667,0.658851674641148,0.694551694551695,0.75766590389016,0.792622582096266,0.625225225225225,0.458874458874459,0.647058823529412,0.758284600389864,0.721649484536083,0.765277777777778,0.84949494949495,0.628921568627451,0.751543209876543,0.793636363636364,0.643569292123629,0.855396065922382,0.704891304347826,0.549310168625447,0.66289592760181,0.737512742099898,0.664760348583878,0.762383900928793,0.809144072301967,0.648181818181818,0.743801652892562,0.775,0.838738738738739,0.665574486675404,0.824353448275862,0.70921052631579,0.728333333333333,0.670550847457627,0.631798245614035,0.718954248366013,0.775480367585631,0.754643962848297,0.712254901960784,0.791904761904762,0.594690265486726,0.714503042596349,0.781400966183575,0.711961722488038,0.785267857142857,0.699029126213592,0.78394495412844,0.832325453545904
17,0.766281512605042,0.855878634639697,0.648883928571429,0.771213748657358,0.644859813084112,0.713068181818182,0.742792792792793,0.778947368421053,0.618224299065421,0.611611161116112,0.585560344827586,0.767830791933104,0.711397058823529,0.707142857142857,0.847494553376906,0.727777777777778,0.762962962962963,0.82803738317757,0.734072022160665,0.843069873997709,0.703873598369011,0.54625,0.685059422750424,0.710407239819005,0.6285,0.735721703011423,0.77617728531856,0.657988429016466,0.703703703703704,0.772045855379189,0.801437556154537,0.626654898499559,0.849716033202272,0.661946902654867,0.70940170940171,0.647593582887701,0.64,0.739655172413793,0.754795663052544,0.722587719298246,0.681521739130435,0.792131844763424,0.653693181818182,0.688109161793372,0.774154589371981,0.678095238095238,0.824074074074074,0.713564213564214,0.767040149393091,0.806751727804359
18,0.740918803418803,0.84347442680776,0.664903846153846,0.79992816091954,0.628482972136223,0.66973886328725,0.683673469387755,0.688644688644689,0.60425,0.593352883675464,0.558809523809524,0.740454076367389,0.696756425948593,0.676666666666667,0.830917874396135,0.705459770114943,0.763157894736842,0.8345,0.715789473684211,0.746153846153846,0.678489042675894,0.549973835688121,0.717613636363636,0.67973124300112,0.587628865979382,0.711882799782963,0.748669426374926,0.668552569542669,0.701397990388816,0.753571428571429,0.791170634920635,0.664525691699605,0.797017797017797,0.656123481781377,0.693287037037037,0.705528846153846,0.551739926739927,0.75625,0.738519212746017,0.724418604651163,0.6596548004315,0.765338393421885,0.661803022407504,0.672043010752688,0.731138545953361,0.68433971526755,0.794036061026352,0.683752417794971,0.767582417582418,0.796570076877587
19,0.767145135566188,0.850708502024292,0.65337586390218,0.789156626506024,0.666666666666667,0.620789779326365,0.653921568627451,0.658406219630709,0.581704260651629,0.602996254681648,0.496632996632997,0.753150057273769,0.688666666666667,0.709183673469388,0.80970625798212,0.694817073170732,0.831593406593407,0.844904815229563,0.708049886621315,0.731946144430845,0.642690058479532,0.574197120708749,0.738748241912799,0.686871673565937,0.573595505617978,0.691933638443936,0.821018062397373,0.682446808510638,0.686915887850467,0.741418764302059,0.778679653679654,0.689646464646465,0.790868924889543,0.671188279978296,0.625520110957004,0.740304369170349,0.548085901027077,0.782587309394983,0.734265734265734,0.708478513356562,0.668283808368708,0.765625,0.687108886107635,0.674418604651163,0.787368421052632,0.714285714285714,0.773313492063492,0.706795077581595,0.781395348837209,0.798765432098765
20,0.769188596491228,0.853741496598639,0.662933930571109,0.787179487179487,0.648888888888889,0.631578947368421,0.619883040935673,0.616106719367589,0.567552602436323,0.618673050615595,0.556397816858702,0.774731182795699,0.66742944317315,0.707193515704154,0.786479250334672,0.668831168831169,0.826441102756892,0.851619644723093,0.726197516262567,0.71546052631579,0.616794795978711,0.623493975903615,0.69983552631579,0.701488095238095,0.526107594936709,0.590139140955838,0.859659090909091,0.618961352657005,0.691176470588235,0.728915662650602,0.717586649550706,0.660588235294118,0.781832298136646,0.659615384615385,0.617897727272727,0.720826792255364,0.604823747680891,0.800607287449393,0.75684556407448,0.722368421052632,0.621098626716604,0.774553571428571,0.67349636483807,0.631899871630295,0.768968456947997,0.685475444096134,0.73992673992674,0.716279069767442,0.785907859078591,0.753246753246753
21,0.752583979328165,0.863636363636364,0.651851851851852,0.799047619047619,0.653610771113831,0.626157407407407,0.570848938826467,0.57776560788609,0.62482853223594,0.587662337662338,0.532600732600733,0.802681992337165,0.646381578947368,0.748548199767712,0.804804804804805,0.714965986394558,0.849518161601186,0.862485615650173,0.703778677462888,0.716666666666667,0.591942820012996,0.638380281690141,0.706280193236715,0.716190476190476,0.518518518518519,0.538461538461538,0.859748803827751,0.5525,0.692592592592593,0.721275018532246,0.709311424100157,0.624333333333333,0.780952380952381,0.638241172551632,0.609659090909091,0.763625932300631,0.568947906026558,0.805372807017544,0.729115479115479,0.677321156773212,0.545634920634921,0.774439102564103,0.686019862490451,0.683319903303787,0.734402852049911,0.701889020070838,0.759638554216867,0.686944634313055,0.774789915966387,0.790845070422535
22,0.70126582278481,0.842225609756098,0.609756097560976,0.796485260770975,0.621913580246914,0.618181818181818,0.540160642570281,0.581937799043062,0.597523219814242,0.569339111592633,0.490833333333333,0.761029411764706,0.609145815358067,0.723972602739726,0.755514705882353,0.717128642501777,0.782051282051282,0.848086124401914,0.727067669172932,0.690972222222222,0.586623690572119,0.58828125,0.650226757369615,0.728373702422145,0.537254901960784,0.531963470319635,0.822635135135135,0.561643835616438,0.680392156862745,0.690494893951296,0.716269841269841,0.589453125,0.74493670886076,0.585497835497836,0.554035567715458,0.786019536019536,0.57429718875502,0.768518518518519,0.672979797979798,0.634581105169341,0.528627450980392,0.764383561643836,0.634033613445378,0.655343827671914,0.7392578125,0.648299319727891,0.770833333333333,0.696895424836601,0.726041666666667,0.772619047619048
23,0.733928571428572,0.724178403755869,0.607619047619048,0.77959927140255,0.636278195488722,0.603174603174603,0.467948717948718,0.587179487179487,0.616666666666667,0.54017094017094,0.442708333333333,0.838775510204082,0.514830508474576,0.82563025210084,0.711904761904762,0.714285714285714,0.7734375,0.857894736842105,0.753535353535354,0.744642857142857,0.643048128342246,0.701604278074866,0.693333333333333,0.826023391812866,0.5203125,0.46993006993007,0.562659846547315,0.558823529411765,0.681578947368421,0.664835164835165,0.688552188552189,0.621666666666667,0.691176470588235,0.686274509803922,0.528724440116845,0.793532338308458,0.53080985915493,0.560267857142857,0.684615384615385,0.624668435013263,0.69804822043628,0.782670454545455,0.600641025641026,0.695976154992548,0.827260458839406,0.576923076923077,0.726940639269406,0.707233065442021,0.748275862068966,0.801724137931035
24,0.768518518518519,0.619230769230769,0.520421607378129,0.796626984126984,0.7359375,0.628813559322034,0.452380952380952,0.4725,0.547457627118644,0.503831417624521,0.422619047619048,0.716589861751152,0.549673202614379,0.828341013824885,0.711484593837535,0.646428571428571,0.58,0.807407407407407,0.765133171912833,0.733333333333333,0.778730703259005,0.626994680851064,0.644,0.830128205128205,0.451724137931035,0.464035087719298,0.555443548387097,0.308802308802309,0.724102564102564,0.641538461538462,0.653409090909091,0.603550295857988,0.551587301587302,0.706010928961749,0.468036529680365,0.72843137254902,0.642241379310345,0.621478873239437,0.651129943502825,0.595679012345679,0.592982456140351,0.711622807017544,0.734195402298851,0.608919382504288,0.845911949685535,0.490384615384615,0.757291666666667,0.691358024691358,0.721132897603486,0.763398692810458
25,0.765993265993266,0.588429752066116,0.572881355932203,0.735294117647059,0.735632183908046,0.56875,0.397802197802198,0.525568181818182,0.572727272727273,0.802469135802469,0.557203389830509,0.682072829131653,0.4375,0.768518518518519,0.651098901098901,0.761455525606469,0.515856236786469,0.722222222222222,0.73469387755102,0.76031746031746,0.664646464646465,0.642857142857143,0.489417989417989,0.63563829787234,0.602222222222222,0.320408163265306,0.410377358490566,0.660714285714286,0.786928104575163,0.718253968253968,0.676744186046512,0.429499072356215,0.672857142857143,0.709383753501401,0.442786069651741,0.55937846836848,0.551470588235294,0.711065573770492,0.605072463768116,0.559027777777778,0.589130434782609,0.622685185185185,0.779411764705882,0.604978354978355,0.819105691056911,0.552083333333333,0.561007957559682,0.580851063829787,0.710144927536232,0.616459627329193
